model,property,full_property,mape,median,p95,p99,max,mae,rmse,nrmse_range,r2,within_1pct,within_5pct
Critical-feature ANN,Density,Density (kg/m^3),0.3630728397217379,0.26707991900778394,1.0346733303752822,1.7969297995544746,18.381577254791022,0.09714278146510485,0.2915079764159866,0.0016308365765310422,0.9999726764619508,94.6192029894866,99.9609581973842
Critical-feature ANN,Entropy,Entropy (kJ/(kg·K)),0.20238445036021388,0.09432343145178237,0.5379353604463831,2.785056662352733,15.529984420114983,0.017837795344252623,0.030381610435600625,0.0007685191738787447,0.9999912396122552,96.78183998438328,99.71415823084861
Critical-feature ANN,Enthalpy,Enthalpy (kJ/kg),0.29938107448394397,0.14562218361737062,0.8998730088027483,3.475716837896628,33.97118755953614,0.6712801179369318,1.5369413261827607,0.0009736382799714019,0.9999875108018291,95.46975654647369,99.43807691235115
Critical-feature ANN,Sound speed,Speed of Sound (m/s),0.09302941422515185,0.06181752947768239,0.277864147006351,0.46965203155391555,5.066293096245305,0.415255277935954,0.7722502716597275,0.0008157976324911427,0.9999917069352712,99.84104408934995,99.99860564990658
Critical-feature ANN,Cv,Cv (kJ/(kg·K)),0.0261833600509714,0.013330915172258356,0.07825213718153652,0.21514245334605275,4.0036047106475205,0.000724314231757045,0.001924590068041087,0.0007822488736631962,0.9999771354988936,99.90797289383418,100.0
Critical-feature ANN,Cp,Cp (kJ/(kg·K)),0.05852914663291994,0.03890456447513305,0.1339798468036688,0.3516648237128038,46.1013924995393,0.006773078091842082,0.48458872920521157,0.002108966550631939,0.9530348169564274,99.75877743383809,99.97769039850526
Critical-feature ANN,Viscosity,Viscosity (μPa·s),0.1585182597587097,0.09461623843837637,0.5259705954579776,1.0031093732108647,3.8245469278824005,0.012766635157731526,0.024252260988065714,0.0012453708162332283,0.9999791253032826,98.98073008170891,100.0
Critical-feature ANN,Therm. cond.,Thermal Conductivity (mW/(m·K)),0.1228977809207895,0.08811051888941208,0.333428838085443,0.5812018233023648,6.3446593445330945,0.0664078700482246,0.12688024725771394,0.0008244130745522862,0.9999911841597942,99.80757968710783,99.99581694971974
Local hybrid,Density,Density (kg/m^3),0.3178158556032392,0.2402382573788221,0.8979543496546188,1.5061429213772783,4.199025745914695,0.08772134438704939,0.2549189609243222,0.0014261399315311258,0.9999791050985073,96.29660615187261,100.0
Local hybrid,Entropy,Entropy (kJ/(kg·K)),0.11330914512061514,0.07536186998013955,0.307145100511743,0.6740108261995597,3.819154853431719,0.0174171160687873,0.030182894885787112,0.0007634925571856219,0.999991353834785,99.48827351571433,100.0
Local hybrid,Enthalpy,Enthalpy (kJ/kg),0.17355207270997225,0.12200308282434906,0.4784331398444866,1.1083441158038312,4.651398824088986,0.6678642502473421,1.5367147248717996,0.0009734947301124158,0.999987514484286,98.81201372040492,100.0
Local hybrid,Sound speed,Speed of Sound (m/s),0.0903443975298232,0.061182183195977236,0.2725414967143439,0.4323784230757724,1.8481927076385936,0.4118535023917367,0.7687975638065244,0.0008121502256909186,0.9999917809255848,99.92470509495524,100.0
Local hybrid,Cv,Cv (kJ/(kg·K)),0.0261833600509714,0.013330915172258356,0.07825213718153652,0.21514245334605275,4.0036047106475205,0.000724314231757045,0.001924590068041087,0.0007822488736631962,0.9999771354988936,99.90797289383418,100.0
Local hybrid,Cp,Cp (kJ/(kg·K)),0.052352517330520605,0.03871540838494106,0.12888611303497374,0.29388825542251495,3.380745354393253,0.002699549789539484,0.010322923853615582,4.492614004395561e-05,0.9999786874777792,99.88287459215259,100.0
Local hybrid,Viscosity,Viscosity (μPa·s),0.1514463903591952,0.09019201337097153,0.510159646496224,0.9801953126299744,3.8245469278824005,0.01252968834107721,0.02415226237705211,0.001240235816577671,0.9999792970923902,99.09924983964974,100.0
Local hybrid,Therm. cond.,Thermal Conductivity (mW/(m·K)),0.12021321123587506,0.0870885376932482,0.3280519184905501,0.5498060937131651,1.9223273516329333,0.06595900062707222,0.12641277057206132,0.0008213756128509579,0.99999124900216,99.88008589196575,100.0
